Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,5.457,5.828,2.416,2.379,2.194,2.162,0.371,0.591,1.62,-1.558,90.795,89.489,216.000
NAMS,5.535,5.498,2.568,2.466,1.999,1.999,-0.036,0.684,1.42,-3.957,77.848,77.836,186.000
GFS,5.528,5.580,2.377,2.270,1.365,1.364,0.052,0.826,1.06,-4.507,57.427,57.385,72.000
