Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,5.908,6.339,2.757,3.019,2.235,2.193,0.431,0.714,1.53,9.484,81.065,79.543,216.000
NAMS,6.067,6.225,2.855,3.313,1.926,1.919,0.158,0.815,1.42,16.021,67.449,67.222,186.000
GFS,5.846,5.806,2.748,2.199,1.616,1.616,-0.041,0.806,1.26,-19.969,58.817,58.798,72.000
