Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,5.186,4.481,1.852,1.488,1.272,1.059,-0.705,0.817,1.03,-19.651,68.715,57.197,66.000
NAMS,5.186,5.810,1.852,2.098,1.304,1.145,0.624,0.837,1.02,13.310,70.407,61.822,66.000
GFS,5.106,5.682,1.739,1.796,1.435,1.314,0.576,0.712,1.06,3.241,82.480,75.540,24.000
