Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,4.604,5.451,2.041,2.139,2.195,2.025,0.847,0.529,1.63,4.810,107.543,99.204,168.000
NAMS,4.604,5.129,2.041,2.143,1.570,1.479,0.526,0.750,1.11,5.013,76.910,72.471,168.000
GFS,4.571,5.358,2.035,2.163,1.807,1.626,0.787,0.696,1.43,6.328,88.805,79.936,56.000
