Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,4.895,5.845,1.943,2.276,2.358,2.159,0.949,0.482,1.66,17.106,121.368,111.098,168.000
NAMS,4.895,5.008,1.943,2.031,1.578,1.574,0.113,0.685,1.22,4.537,81.183,80.975,168.000
GFS,4.903,5.380,1.935,2.103,1.570,1.496,0.477,0.724,1.29,8.721,81.169,77.327,56.000
