Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,4.610,4.828,1.684,1.914,1.625,1.611,0.218,0.600,1.28,13.605,96.489,95.618,72.000
NAMS,4.610,4.924,1.684,1.317,1.576,1.544,0.314,0.485,1.21,-21.787,93.557,91.684,72.000
GFS,4.642,5.179,1.851,1.503,1.439,1.335,0.537,0.688,1.12,-18.837,77.714,72.090,24.000
