Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,2.937,2.759,1.725,1.750,1.985,1.977,-0.178,0.343,1.59,1.493,115.123,114.659,72.000
NAMS,2.937,2.806,1.725,1.031,1.559,1.554,-0.131,0.447,1.24,-40.194,90.404,90.084,72.000
GFS,2.801,3.640,1.914,1.675,2.218,2.054,0.839,0.323,1.61,-12.476,115.890,107.287,24.000
