Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,5.029,4.295,1.440,1.661,1.912,1.766,-0.733,0.349,1.59,15.350,132.776,122.623,72.000
NAMS,5.029,4.025,1.440,1.222,1.786,1.477,-1.003,0.385,1.45,-15.176,123.986,102.568,72.000
GFS,5.043,4.926,1.412,1.386,1.048,1.041,-0.117,0.711,0.87,-1.843,74.175,73.713,24.000
