Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,5.971,5.522,1.169,1.596,1.627,1.564,-0.449,0.388,1.15,36.541,139.191,133.792,120.000
NAMS,5.971,5.472,1.169,1.641,1.318,1.220,-0.499,0.667,1.07,40.387,112.758,104.360,120.000
GFS,6.007,5.789,1.170,1.378,1.010,0.986,-0.218,0.704,0.77,17.827,86.325,84.298,40.000
