Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,5.710,6.405,1.573,2.012,1.802,1.663,0.695,0.590,1.47,27.921,114.562,105.696,120.000
NAMS,5.710,5.941,1.573,1.995,1.584,1.567,0.232,0.634,1.17,26.813,100.736,99.653,120.000
GFS,5.726,6.194,1.534,1.596,1.396,1.315,0.469,0.638,1.12,3.999,91.019,85.742,40.000
