Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG 3.9,6.645,5.628,1.723,1.422,1.641,1.289,-1.016,0.672,1.33,-17.466,95.256,74.796,48.000
Coldestpix 3.9,6.645,5.665,1.723,1.444,1.633,1.306,-0.979,0.666,1.33,-16.162,94.757,75.809,48.000
RTG 4.0,7.225,7.001,1.771,2.172,1.024,0.999,-0.224,0.886,0.80,22.677,57.804,56.399,24.000
Coldest Pix 4.0,7.225,6.942,1.771,2.096,1.025,0.985,-0.283,0.878,0.84,18.358,57.889,55.632,24.000
