Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,7.225,7.001,1.771,2.172,1.024,0.999,-0.224,0.886,0.80,22.677,57.804,56.399,24.000
Coldestpix,7.225,6.942,1.771,2.096,1.025,0.985,-0.283,0.878,0.84,18.358,57.889,55.632,24.000
NAMS,6.645,8.650,1.723,2.246,3.021,2.259,2.006,0.362,2.22,30.366,175.333,131.096,48.000
GFS,6.613,7.000,1.911,1.711,1.271,1.210,0.387,0.767,0.98,-10.443,66.490,63.335,16.000
