Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,8.415,7.981,2.125,2.604,1.522,1.459,-0.435,0.820,1.21,22.527,71.630,68.645,24.000
Coldestpix,8.415,7.758,2.125,2.432,1.594,1.452,-0.658,0.796,1.31,14.437,75.021,68.336,24.000
NAMS,6.900,7.438,2.627,1.587,2.305,2.241,0.538,0.515,1.70,-39.608,87.730,85.303,48.000
GFS,7.007,6.673,2.449,2.296,1.308,1.264,-0.334,0.850,0.94,-6.255,53.392,51.619,16.000
