Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,7.516,6.173,3.151,3.710,1.692,1.029,-1.343,0.966,1.39,17.747,53.699,32.665,24.000
Coldestpix,7.516,6.279,3.151,3.683,1.637,1.073,-1.236,0.960,1.39,16.893,51.961,34.068,24.000
NAMS,7.949,8.607,2.943,3.645,1.944,1.830,0.658,0.864,1.43,23.868,66.070,62.176,48.000
GFS,7.890,6.753,3.003,2.934,1.570,1.084,-1.137,0.929,1.33,-2.312,52.285,36.080,16.000
