Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG 3.9,7.949,6.144,2.943,2.987,2.073,1.021,-1.805,0.940,1.83,1.501,70.457,34.688,48.000
Coldestpix 3.9,7.949,6.310,2.943,2.896,1.909,0.979,-1.639,0.943,1.67,-1.598,64.883,33.281,48.000
RTG 4.0,7.516,6.173,3.151,3.710,1.692,1.029,-1.343,0.966,1.39,17.747,53.699,32.665,24.000
Coldest Pix 4.0,7.516,6.279,3.151,3.683,1.637,1.073,-1.236,0.960,1.39,16.893,51.961,34.068,24.000
