Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG 3.9,6.900,6.043,2.627,1.888,2.259,2.090,-0.857,0.605,1.92,-28.120,85.998,79.566,48.000
Coldestpix 3.9,6.900,5.922,2.627,1.914,2.269,2.047,-0.978,0.625,1.92,-27.144,86.351,77.919,48.000
RTG 4.0,8.415,7.981,2.125,2.604,1.522,1.459,-0.435,0.820,1.21,22.527,71.630,68.645,24.000
Coldest Pix 4.0,8.415,7.758,2.125,2.432,1.594,1.452,-0.658,0.796,1.31,14.437,75.021,68.336,24.000
