Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,8.278,7.258,3.645,3.431,2.005,1.726,-1.020,0.882,1.59,-5.863,55.011,47.361,335.000
NAMS,8.278,7.390,3.645,3.510,1.728,1.483,-0.887,0.915,1.43,-3.699,47.404,40.675,335.000
GFS,8.278,7.696,3.645,3.681,1.803,1.706,-0.582,0.891,1.45,0.983,49.449,46.798,335.000
Below 12.5 m/s
RU-WRF,7.351,6.358,2.768,2.273,1.915,1.637,-0.993,0.806,1.53,-17.885,69.168,59.137,294.000
NAMS,7.351,6.501,2.768,2.570,1.672,1.440,-0.851,0.857,1.39,-7.150,60.403,52.002,294.000
GFS,7.351,6.798,2.768,2.743,1.731,1.640,-0.553,0.822,1.39,-0.920,62.514,59.231,294.000
