Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,8.588,7.656,3.550,3.456,1.765,1.499,-0.932,0.909,1.46,-2.653,49.711,42.208,311.000
NAMS,8.588,7.502,3.550,3.390,2.059,1.750,-1.086,0.873,1.64,-4.530,57.997,49.280,311.000
GFS,8.588,7.924,3.550,3.647,1.828,1.703,-0.664,0.888,1.47,2.707,51.483,47.969,311.000
