Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
WRF 3.9,6.515,6.004,3.180,2.468,2.317,2.260,-0.511,0.706,1.83,-22.393,72.851,71.058,288.000
NAM,6.320,6.242,3.043,2.986,1.844,1.842,-0.078,0.813,1.39,-1.869,60.593,60.539,360.000
GFS,6.320,6.736,3.043,2.653,2.069,2.027,0.416,0.754,1.67,-12.810,68.004,66.615,360.000
