Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
WRF 4.1,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, NaN,  NaN,  NaN,  NaN,0.000
NAM,5.351,4.489,1.965,1.730,2.531,2.380,-0.862,0.170,2.20,-11.961,128.786,121.095,168.000
GFS,5.351,5.170,1.965,2.234,2.942,2.936,-0.181,0.021,2.36,13.695,149.681,149.397,168.000
HRRR,5.351,4.724,1.965,1.827,2.475,2.395,-0.627,0.199,2.01,-7.049,125.950,121.840,168.000
