Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
WRF 3.9,5.208,5.435,2.463,2.320,2.136,2.124,0.227,0.603,1.66,-5.810,86.709,86.217,96.000
NAM,5.208,5.234,2.463,2.053,1.775,1.775,0.026,0.702,1.36,-16.683,72.058,72.051,96.000
GFS,5.208,5.546,2.463,2.115,2.209,2.183,0.338,0.550,1.76,-14.131,89.670,88.613,96.000
HRRR,5.208,5.005,2.463,2.232,1.846,1.834,-0.204,0.696,1.40,-9.391,74.916,74.459,96.000
