Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
WRF 3.9,4.435,4.411,2.022,1.860,1.620,1.620,-0.024,0.652,1.26,-8.005,80.141,80.132,168.000
NAM,5.139,4.489,2.123,1.730,2.248,2.152,-0.650,0.387,1.92,-18.490,105.900,101.372,168.000
GFS,5.139,5.170,2.123,2.234,2.358,2.358,0.030,0.412,1.91,5.264,111.097,111.088,168.000
HRRR,5.139,4.724,2.123,1.827,2.199,2.159,-0.416,0.407,1.77,-13.942,103.573,101.703,168.000
