Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,6.828,7.909,2.311,2.174,2.173,1.885,1.082,0.645,1.61,-5.944,94.012,81.537,96.000
NAMS,6.828,6.772,2.311,2.430,1.141,1.140,-0.055,0.884,0.92,5.117,49.381,49.323,96.000
GFS,6.807,7.395,2.338,2.736,1.377,1.245,0.589,0.887,1.04,17.047,58.923,53.273,32.000
