Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,6.749,7.426,2.246,1.944,2.056,1.941,0.677,0.574,1.58,-13.414,91.539,86.438,96.000
NAMS,6.749,7.345,2.246,2.701,1.443,1.315,0.596,0.873,1.06,20.298,64.273,58.545,96.000
GFS,6.719,7.956,2.201,2.702,1.805,1.314,1.237,0.871,1.32,22.758,82.011,59.711,32.000
