Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,8.264,7.111,3.754,3.293,2.236,1.916,-1.152,0.860,1.83,-12.291,59.559,51.040,540.000
NAMS,8.264,8.041,3.754,3.679,1.569,1.553,-0.222,0.913,1.24,-2.005,41.783,41.361,540.000
GFS,8.264,8.008,3.754,3.757,1.869,1.851,-0.255,0.878,1.47,0.075,49.782,49.315,540.000
Below 12.5 m/s
RU-WRF,7.341,6.260,3.006,2.231,2.157,1.867,-1.082,0.784,1.76,-25.789,71.768,62.096,470.000
NAMS,7.322,7.105,2.997,2.758,1.521,1.505,-0.217,0.866,1.19,-7.991,50.738,50.218,468.000
GFS,7.341,7.136,3.006,2.954,1.859,1.847,-0.206,0.808,1.45,-1.737,61.830,61.450,470.000
