Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
WRF 3.9,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, NaN,  NaN,  NaN,  NaN,0.000
NAM,6.740,4.923,3.673,1.898,3.645,3.159,-1.817,0.506,2.84,-48.341,99.221,86.012,168.000
GFS,6.740,5.492,3.673,2.114,3.659,3.439,-1.248,0.390,2.98,-42.448,99.600,93.629,168.000
