WRF 3.9,6.111,5.776,2.995,2.415,2.333,2.309,-0.335,0.653,1.83,-19.354,77.905,77.098,240.000
NAM,6.165,6.054,2.748,2.965,3.625,3.623,-0.112,0.195,2.96,7.905,131.933,131.870,312.000
GFS,6.165,6.634,2.748,2.636,3.265,3.231,0.469,0.278,2.71,-4.074,118.807,117.577,312.000
