Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
WRF 3.9,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, NaN,  NaN,  NaN,  NaN,0.000
NAM,10.439,7.844,4.011,1.293,4.632,3.836,-2.595,0.263,4.04,-67.771,115.484,95.653,48.000
GFS,10.439,8.322,4.011,1.414,4.004,3.399,-2.117,0.554,3.47,-64.734,99.842,84.755,48.000
