Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,6.742,5.202,3.272,2.637,2.248,1.638,-1.540,0.866,1.87,-19.420,68.707,50.049,90.000
Coldestpix,5.980,4.396,3.178,2.330,2.519,1.958,-1.584,0.786,1.97,-26.695,79.238,61.604,72.000
NAMS,6.742,6.860,3.272,3.631,1.961,1.957,0.118,0.842,1.41,10.951,59.917,59.809,90.000
GFS,6.501,5.870,3.242,2.396,1.790,1.676,-0.631,0.859,1.46,-26.078,55.235,51.694,32.000
