Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,6.125,5.228,3.027,2.312,2.008,1.797,-0.897,0.804,1.61,-23.627,66.352,59.365,162.000
Coldestpix,6.125,5.200,3.027,2.295,2.179,1.973,-0.925,0.756,1.70,-24.179,72.002,65.197,162.000
NAMS,6.413,6.875,3.071,3.388,1.958,1.903,0.462,0.830,1.43,10.301,63.763,61.965,144.000
GFS,6.127,6.154,2.988,2.296,1.700,1.700,0.027,0.820,1.33,-23.161,56.898,56.891,56.000
