Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,5.563,4.916,1.912,1.930,1.522,1.378,-0.647,0.741,1.19,0.891,79.595,72.040,162.000
Coldestpix,5.563,4.981,1.912,1.883,1.456,1.335,-0.583,0.751,1.12,-1.537,76.157,69.799,162.000
NAMS,5.714,7.089,2.023,3.027,2.675,2.294,1.375,0.650,1.84,49.595,132.185,113.382,144.000
GFS,5.628,6.270,1.977,2.280,1.512,1.369,0.642,0.799,1.17,15.319,76.479,69.242,56.000
