Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,5.883,5.196,2.425,2.008,1.961,1.837,-0.687,0.667,1.60,-17.171,80.888,75.757,90.000
Coldestpix,5.870,4.980,2.245,1.850,1.718,1.469,-0.890,0.756,1.39,-17.575,76.531,65.462,96.000
NAMS,6.381,6.268,2.535,2.261,1.866,1.862,-0.113,0.702,1.43,-10.829,73.583,73.447,120.000
GFS,6.264,6.238,2.367,2.221,1.470,1.470,-0.027,0.792,1.12,-6.165,62.097,62.086,48.000
