Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,5.673,4.915,1.984,1.682,1.428,1.211,-0.758,0.792,1.13,-15.202,72.013,61.032,90.000
Coldestpix,5.499,4.827,2.063,1.805,1.231,1.031,-0.672,0.864,1.00,-12.462,59.670,49.988,72.000
NAMS,5.673,7.059,1.984,2.819,2.388,1.945,1.386,0.720,1.68,42.112,120.401,98.035,90.000
GFS,5.648,6.164,2.034,1.963,1.393,1.294,0.516,0.784,1.04,-3.492,68.480,63.605,32.000
