Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,5.664,5.333,2.493,2.149,1.907,1.878,-0.331,0.680,1.52,-13.783,76.512,75.351,162.000
Coldestpix,5.664,5.107,2.493,2.154,1.836,1.750,-0.557,0.724,1.49,-13.584,73.673,70.202,162.000
NAMS,5.881,5.896,2.626,2.477,2.211,2.211,0.014,0.623,1.63,-5.664,84.199,84.197,144.000
GFS,5.850,5.766,2.432,2.387,1.429,1.426,-0.084,0.822,1.10,-1.848,58.739,58.637,56.000
