Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RTG,5.883,5.196,2.425,2.008,1.961,1.837,-0.687,0.667,1.60,-17.171,80.888,75.757,90.000
Coldestpix,6.090,5.107,2.384,1.924,1.812,1.522,-0.983,0.767,1.48,-19.264,76.008,63.847,78.000
NAMS,5.883,5.906,2.425,2.311,1.946,1.946,0.023,0.659,1.46,-4.676,80.272,80.267,90.000
GFS,5.923,5.780,2.261,2.161,1.179,1.171,-0.144,0.856,0.88,-4.420,52.168,51.778,32.000
