Model,mo,mf,so,sf,rms,crms,mb,cc,mae,c1,c2,c3,count
RU-WRF,5.268,6.064,1.988,2.328,1.842,1.661,0.796,0.713,1.35,17.105,92.655,83.558,216.000
NAMS,5.312,6.385,2.125,3.093,2.398,2.145,1.073,0.720,1.60,45.557,112.843,100.908,186.000
GFS,5.256,5.985,2.017,2.166,1.505,1.317,0.729,0.801,1.19,7.398,74.604,65.278,72.000
